Name,Grade
BASIREDDY TEJENDRAREDDY,Very Good
Aneet Chaudhari,Fair
AVIRAL,Very Good
Sunil Balasubramanian,Poor
AYUSH MEENA,Good
Jayendra Barua,Good
Sanjay Singh Samant,Fair
CHETAN SRIVASTAVA,Fair
BHARAT SINGH CHAUHAN,Fair
BINIT KUMAR,Poor
Subhasis Mathur,Exceptional
AYUSH GOYAL,Good
Shivraman,Exceptional
Samarjeet Sibal,Poor
Sudhir Bedi,Fair
SANJALI BATRA,Poor
ROMMY AGARWAL,Good
Vijay Alwera,Exceptional
Satavalekar Rupali Sanjay,Good
Sunil Ramakrishnan,Exceptional
Shubham Sankaran,Poor
Surendra Singh Choudhary,Very Good
Mridul Sheth,Very Good
Sanjay Dalal,Very Good
Venkateswarlu Devuri,Good
Amit Chakraborty,Exceptional
SAMARTH GODARA,Good
Nilesh Dhillon,Very Good
Samarjeet Badal,Very Good
NEETU,Good
Vinay Brahmbhatt,Exceptional
YASHVENDRA SINGH,Very Good
Vishal Roy,Poor
Sudhir Agarwal,Poor
DHARGAWE KISHITA JAINDRA,Poor
Sunil Gandhi,Good
PIYUSH JADIYA,Exceptional
Nilesh Deshpande,Exceptional
SUBHANSHA ATRAY,Very Good
Shivram Dasgupta,Exceptional
Bekele Mengesha Dogie,Very Good
Aneet Chada,Poor
Shivam Verma,Very Good
Shivbihari Saxena,Fair
DEBADITYA BARMAN,Very Good
Shivam Agarwal,Good
Vishal Gour,Very Good
Shashidhar Patel,Exceptional
Vinay Nagar,Poor
CHETAN GUPTA,Exceptional
Sunil Bhatia,Poor
Amit Chakrabarti,Very Good
AKANKSHA KUMARI,Poor
Shubham Banerjee,Very Good
Kapil Kumar,Very Good
ANKIT GARG,Good
HARSH JAGARWAL,Exceptional
Lalit Kumar Meena,Exceptional
Aneet Dhillon,Poor
Manish Kumar Chauhan,Good
Satish Jaiswal,Fair
PIYUSH SONI,Exceptional
AJAY MALI,Good
Sanjay Sengupta,Fair
Vishal Savant,Very Good
Sunil Sheth,Very Good
RAMAN SINGH MARAVI,Good
Amit Pandey,Good
Samarjeet Shan,Fair
Sanjay Gupta,Very Good
Sonu Seth,Good
Aneet Ghose,Good
Rana Pratap Singh,Good
Shivam Goda,Poor
Sonu Gupta,Very Good
Vishal Garg,Very Good
DEVENDRA PATEL,Exceptional
Aneet Sanghvi,Good
Smriti Saraswat,Exceptional
Anoj Giri,Good
Adarsh Kashyap Singh,Poor
Aneet Ranganathan,Poor
AGRAWAL ANIRUDH ANIL,Exceptional
N SAKET KRISHNA,Good
Sonu Chopra,Fair
DIVYANSH JINDAL,Very Good
Arvind Dyal,Poor
VIKAS KUMAR,Fair
Sonu Sanghvi,Exceptional
SHASHANK PANT,Good
Subhasis Chauhan,Fair
SOHANLAL MEENA,Very Good
Vitalram Rayankula,Good
GOPAL SINGH PARTHIYAL,Very Good
Mridul Apte,Good
Rohit Barman,Fair
Mridul Ramachandran,Exceptional
ABHISHEK PATIL,Poor
Amit Chatterjee,Very Good
Nilesh kumar,Good
Vasanta G Kumar Villuri,Fair
Upendra Mohan Bhatt,Poor
Niyati Baliyan,Good
Rohit Bhandari,Fair
Samarjeet Sarkar,Poor
ABHISHEK KUMAR SINGH,Very Good
Swati Bhave,Poor
Sonu Banerjee,Fair
SHREYAA SHARMA,Poor
S SHANMATHI,Very Good
BADAVATH VILAS NAYAK,Exceptional
Mridul Sandhu,Very Good
AMAN VERMA,Exceptional
Nitesh Sanghvi,Good
Sudhir Sheth,Good
Rohit Grewal,Fair
DIGVIJAY SINGH,Fair
Sudhir Bhatia,Very Good
Shivram Badal,Poor
PALANGE RUPESH KISHOR,Fair
Shivbihari Seshadri,Exceptional
Aneet Sinha,Poor
Sanjay Dhillon,Good
DHIRAJ CHHAWCHHARIA,Poor
ABHISHEK,Poor
MITUL GAHTORI,Exceptional
JITENDRA SHARMA,Poor
Smita Pandey,Good
Sudhir Singh,Exceptional
Shivbihari Chaudhuri,Poor
Sompal Singh,Poor
Shivbihari Ghosh,Fair
AKSHAY Garg,Exceptional
UTKARSH AASHU MISHRA,Poor
PHOOL PREET,Poor
Nitesh Mishra,Good
LOKESH CHANDRA JOSHI,Exceptional
VIPUL GOEL,Exceptional
Vinay Dugal,Good
SOVAN DEV PAL,Exceptional
Arvind Dhawan,Good
Nitesh Bhargava,Fair
MAHESHBHAI J. VANAJARA,Poor
SIDDHANT,Exceptional
Shubham Bansal,Poor
Manjot Singh Cheema,Poor
Kamal Prakash,Exceptional
AKASH KURMI,Exceptional
Ashok Kumar Dohare,Poor
SHUBHAM VERMA,Good
SHUBHAM BHARDWAJ,Fair
AYUSH PATEL,Exceptional
Shivbihari Soni,Poor
ROHIT NIRANJAN,Very Good
ADITYA,Fair
LARA GARG,Exceptional
Rashmi Kumari,Exceptional
AYANDEEP MANDAL,Good
VARUN RATHORE,Poor
Vinay Dalal,Very Good
Sudhir Dubey,Very Good
JATIN KUMAR CHOUDHARY,Fair
Arvind Sachdev,Poor
PUNEET MISHRA,Exceptional
SATENDRA KUMAR GAUTAM,Very Good
SHUKSHI RAJ,Very Good
Shivram Ahuja,Fair
Shivbihari Savant,Good
GAUTAM RAWAT,Good
Vishal Grewal,Fair
Vinay Sharaf,Poor
RAHUL ATUL KUMAR JAIN,Poor
PRADDYUMNA ANIRUDDHA KULKARNI,Very Good
Shivram Chaudhuri,Exceptional
SHREYAS DODAMANI,Poor
Swati Rani,Fair
Avadhesh Kashyap SINGH,Poor
SUYASH RAHARIYA,Good
ANJANEY RAI,Good
GAURAV KASAT,Exceptional
Shubham negi,Good
RITIK KUMAR KHATRI,Fair
NEHA,Good
PRIYA SINGH,Exceptional
Subhasis Dubey,Fair
NITISH KUMAR,Very Good
LESHNA BALARA,Exceptional
Sanjay Mehta,Good
MAHESH KUMAR TIWARI,Exceptional
SHRUTI PRAFULLA NALE,Poor
ISHITA SAINI,Fair
Sanjay Chawla,Very Good
MAITRIK ASHISH SHAH,Poor
Shubham Sodhi,Exceptional
GARIMA VERMA,Exceptional
Ankit Mukhopadhyay,Good
ATUL KUMAR BILTORIA,Exceptional
Shivbihari Roy,Fair
Nitesh kumar,Exceptional
Samarjeet Nagar,Fair
Vijayalakshmi Gosu,Fair
Sudhir Banerjee,Very Good
Sudhir negi,Exceptional
Shubham Sehgal,Good
RITVIK KHAJURIA,Good
VIKAS NEHRA,Poor
Subhasis shukla,Good
Pallavi Singh,Very Good
Sudhir Ahuja,Very Good
Anand Chaudhari,Fair
Shivbihari Apte,Very Good
SHINGADE SANDIP TUKARAM,Fair
Samarjeet Chand,Fair
LAKHAN KUMAR,Fair
AMIT SINGH YADAV,Good
Ankit Aggarwal,Fair
Sudhir Mukhopadhyay,Very Good
Sarbjit Singh,Very Good
Sunil Sodhi,Poor
VEDVYAS SUDHAKAR DANTURI,Poor
Saroj Rani Pattnaik,Poor
TUSHAR TYAGI,Fair
VINEETH V,Poor
HARDIK MEENA,Exceptional
Praveen Kamath,Fair
Subhasis Chaudhari,Fair
Nilesh Mehra,Exceptional
Sonu Bhatt,Very Good
DESHRAJ MEENA,Good
SACHIN BALSARA,Exceptional
Kamlesh Bajwa,Good
ROCHAK ROOPESH JAIN,Fair
Ayushi Prajapat,Poor
Samarjeet Arora,Good
MAHESH SAHARAN,Exceptional
Sarita,Very Good
Vishal Ramaswamy,Poor
Mohit Tyagi,Good
SANGEPU VENKATA PRADEEP,Poor
Kamlesh Bhatt,Exceptional
KUMAR SAMRENDRA,Fair
Vinay Sankaran,Poor
SACHIN GARG,Fair
TEJASWI ANAND,Exceptional
MOHD ANAS,Fair
Ashu Sharma,Good
Samarjeet Handa,Fair
SHIKHAR GUPTA,Exceptional
Priyanka Yadav,Good
Sanjay Rastogi,Good
ANU VERMA,Poor
FARDIN NAWAB ALI BHATI,Good
Aneet Nagar,Good
Samarjeet Mathur,Poor
Nitesh Gour,Exceptional
SAMA SAI SHRIYA MUDIRAJ,Good
Surendra Kumar Chourasiya,Good
Rohit Bhavsar,Poor
RAKESH KUMAR PATRA,Poor
VINAY KUMAR SINGH,Exceptional
Nishant Sharma,Exceptional
AKASH MISHRA,Poor
Sudhir Chaudhuri,Good
Aneet Savant,Poor
FATEH SINGH JASSAL,Good
Nitesh Dhaliwal,Poor
Siddhartha Khare,Exceptional
Brijesh Kashyap SINGH,Poor
SUJITH SUKUMAR SANAMALA,Good
Vishal Chauhan,Good
KARNATI VIVEK VEMAN,Fair
K HARSHAVARDHAN,Very Good
Vinay Rastogi,Fair
Ankit Bahri,Exceptional
DHEERAJ ADWANI,Good
Mohd Najim,Good
Sudeep Singh Sanga,Good
Sanjay Sodhi,Fair
Subhasis Bhalla,Very Good
LAKSHYA SINGH,Poor
Vishal Chandra,Good
Sunil Dyal,Fair
YASHU KUMAR,Poor
MILIND VERMA,Exceptional
Shivbihari Chatterjee,Exceptional
AYUSH DEWANGAN,Poor
MAHENDRA KUMAWAT,Exceptional
Vishal Gopal,Very Good
Neha Dua,Poor
Brijesh MOURYA Kumar,Poor
Anand Chakrabarti,Very Good
ANANT SINGH,Good
Samarjeet Sehgal,Very Good
SATYAM CHAUDHARY,Poor
DIVYANG PURKAYASTHA,Fair
Jayant Gopal Thakare,Poor
CHESTA,Fair
SHUBHAM BIHANI,Fair
Subhasis Ranganathan,Fair
GINBAR ENSERMU GELETA,Fair
Ankit Deol,Poor
SHAH MEET,Poor
Madhusudan G. Kalibhat,Fair
Shubham Agrawal,Good
TABISH MADNI,Good
AKSHAY Dube,Exceptional
ANADI VYAS,Poor
Sanjay Gandhi,Exceptional
GANNAVARAPU SANTHU DANTESWAR RAO,Good
Shivbihari Rao,Poor
VAIBHAV SINGH CHAUHAN,Good
SUSHANT SHARDA,Exceptional
Anand Balakrishnan,Poor
VISHAL AGRAHARI,Exceptional
Arvind Sankar,Good
KOKANE ANANT KIRAN,Exceptional
Shubham Dave,Very Good
Nitesh Datta,Exceptional
AJAY CHHAPOLA,Fair
VIVEK SINGH,Exceptional
Amit Garg,Fair
MAHINDER BAWARIA,Poor
Subhasis Arya,Poor
Pandya Unnati Rameshchandra,Very Good
RITIK KUMAR,Exceptional
AJAY MANDRAWLIA,Exceptional
Shivram Ghosh,Very Good
AAYUSH RANJAN,Fair
SAWANT SURAJ TANAJI,Fair
SURESH TOGAS,Fair
ARPIT,Exceptional
Aneet Bhandari,Poor
AKHILESH SIROHI,Exceptional
Samarjeet Gour,Exceptional
ANKIT DEV,Poor
MONTY,Exceptional
Aneet Sehgal,Poor
Anand Bhagat,Exceptional
SHASHANK KASHYAP,Exceptional
MAYANK VIJAY,Poor
Rohit Sibal,Fair
PHANINDRA KUMAR GANIVADA,Poor
BANDA SAHITHI,Poor
Namit Agrawal,Exceptional
RAJEEV RANJAN,Exceptional
GUDDU SINGH,Poor
Temesgen Berhanu Yallew,Very Good
Subhasis Balakrishnan,Poor
Anand kumar,Very Good
Sanjay Sethi,Good
VANDANA PATEL,Good
Vinay Sood,Poor
Shivram Bhatnagar,Poor
CHINTAM SURESH KUMAR,Exceptional
Anshul Arora,Good
AJAY KUMAR,Very Good
SURYA KANT SAHDEO,Very Good
VAIBHAV SINGH,Fair
Sanjay Dave,Very Good
Anand ratnam,Fair
SAURAV RAJ,Good
DIVANSHU SINGODIA,Exceptional
Lokesh Kumar,Good
SAGAR PANT,Exceptional
YASHWANT SINGH,Exceptional
Sonu Soni,Very Good
KAMAL,Poor
Subhasis Goswami,Very Good
AMAN DIXIT,Very Good
LAKAVATH VARUN NIHAL,Fair
Amit Barnwal,Poor
Subhasis Basu,Good
ASHUTOSH KUMAR SINGH,Poor
Shivbihari Raj,Poor
Samarjeet Shah,Good
Sanjeev Mukherjee,Good
Rawal Tejas Sharadchandra,Fair
Mridul Sankaran,Poor
Rohit Rastogi,Exceptional
Ankit Kathuria,Very Good
Subhasis Chandra,Very Good
Saurabh Sharma,Exceptional
Ashutosh Nandi,Exceptional
Sunil Dave,Fair
Aneet Ahluwalia,Fair
RIBHAV HANS,Poor
Sunil Atwal,Fair
LAKSHYA VERMA,Exceptional
Arvind Chauhan,Exceptional
Mamta Raj,Fair
Mridul Gour,Exceptional
Ankit Sahni,Fair
ABHIGYA BHARADWAJ,Good
Kamlesh Brahmbhatt,Very Good
Arvind Sridhar,Good
Anand Handa,Poor
Ajay Chaudhary,Very Good
Shivbihari Mehra,Good
Manish Kumar Rathore,Exceptional
JATIN SINGH,Very Good
PRIYESH KUMAR,Exceptional
REWATI RAMAN,Fair
Vinay Saini,Poor
Vishal Deol,Good
Chirag Trivedi,Fair
FARDEEN KAMAL,Poor
ISSHITA,Poor
PAWAN KUMAR SAINI,Good
SHREYANSH JAIN,Good
Subhasis Rastogi,Exceptional
Sonu Desai,Poor
Sudhir Dasgupta,Fair
Nitesh Soni,Exceptional
Nitesh Gandhi,Exceptional
Sudhir Khare,Very Good
YASH KHAJANCHI,Good
KETAN KUMAR DONGRE,Good
AKSHARA BHIMRAO PANTAWNE,Fair
Mithlesh MOURYA Kumar,Poor
Aneet Chawla,Fair
Mridul Desai,Fair
Vishal Chada,Exceptional
Samarjeet Bakshi,Poor
DHRUV SINGH RAWAT,Good
Shivram Balasubramanian,Fair
Vinay Grewal,Very Good
ABHISHEK BANSAL,Exceptional
Sonu Bhattacharyya,Very Good
Arvind Dhaliwal,Fair
SUTAR SUNIL SURESH,Exceptional
AMAN TIWARI,Fair
ALOK MISHRA,Fair
Poddar Monappa Gundappa,Poor
Shivbihari Chandran,Poor
Sunil Sahni,Good
Arvind Seshadri,Very Good
Nilesh Dixit,Very Good
HEMANT,Fair
Sudhir Ahluwalia,Good
VIBHORE MENDIRATTA,Very Good
GANDHI PURVIL SANDEEP,Fair
Rohit Sehgal,Very Good
Aneet Saran,Poor
AMIT MATHUR,Fair
Sonu Ahuja,Very Good
Nilesh Chawla,Exceptional
Anand Chauhan,Fair
Shivbihari Shroff,Good
AJAY VASHISHTHA,Very Good
Samarjeet Ramachandran,Exceptional
RAHUL DUGAR,Good
PARAS GUPTA,Poor
ABHISHEK KUMAR,Exceptional
Abhilasha Chauhan,Very Good
Vinay Sami,Poor
Aneet Sami,Very Good
Ankit Chawla,Good
Vishal Saran,Exceptional
PRADEEP CHOUDHARY,Fair
Sudhir Sharaf,Good
Subhasis Sengupta,Very Good
Aneet Sridhar,Poor
PRADNESH PRAMOD CHAVAN,Exceptional
Mridul Ganguly,Fair
Shivram Datta,Poor
Surendra Kumar Sharma,Very Good
NITIKA GUPTA,Poor
ADARSH SINGH,Good
SHASHI KANT,Exceptional
ANURAAG,Very Good
Mridul Atwal,Poor
SARTHAK BAGHEL,Very Good
VARUN GUPTA,Very Good
RINALINI LAHON,Poor
SUBHASH SURYAWANSHI,Exceptional
KOLUSU LAKSHMI RAVI CHANDU,Very Good
Amit Handa,Exceptional
Sanjeev Kumar Sajjan,Poor
Nilesh Chadha,Exceptional
Subhasis Chakraborty,Very Good
Sonu Datta,Very Good
Shivbihari Gopal,Fair
Hitesh Basitti,Exceptional
Samarjeet Sengupta,Good
SURENDRA KUMAR SAINI,Fair
Subhasis Mehra,Exceptional
Shivbihari Bajwa,Poor
Vinay Singhal,Fair
NEHA CHOUDHARY,Good
AKASH,Exceptional
Avadhesh MOURYA Kumar,Poor
Shivbihari Garg,Fair
JETHANI ROHIT GHANSHAM,Fair
Shivram Gokhale,Poor
MUNEER V,Poor
MAYANK MEENA,Very Good
Ashok Manori,Poor
Sanjay Atwal,Poor
Chaudhry Indra Kumar,Fair
SAUMITRA MISHRA,Very Good
SIDDHARTH SINGH BAGHEL,Poor
Sonu Chada,Poor
Rohit Bajwa,Fair
Manju.A,Good
ROHITAKSH CHOUDHARY,Good
NEHPAL SINGH,Exceptional
Anand Bansal,Good
Vinay Barman,Good
URJITA SHARMA,Poor
Nitesh Saini,Poor
TEJAS SANGHAPAL PATIL,Exceptional
ADITYA DONERIA,Exceptional
ANURAG SRIVASTAVA,Exceptional
Mridul Gopal,Exceptional
AGAM JAIN,Poor
KAMBHAMPATI PRUDHVI,Fair
SHIVANAND YADAV,Fair
SUSHANT KUMAR,Fair
MEETUL RATHORE,Good
SHUBHAM CHITRANSH,Poor
SIDDHARTH GARG,Very Good
VIVEK HARISH MAHESHWARI,Fair
BUSHRA SHAHRIAR,Exceptional
ALOK KUMAR,Fair
Om Hari Gupta,Good
Sudhir Gandhi,Very Good
TANISHK SAXENA,Fair
Sonu Sibal,Exceptional
Priyadarshi Upadhyay,Exceptional
PULKIT KHANNA,Very Good
ARYAN BIDANI,Good
Sunil Sharaf,Fair
Nilesh Agarwal,Good
AKASH KUMAR SHAH,Very Good
Kumari Jyoti,Exceptional
Sudhir Sahni,Fair
AKSHAY Balasubramanian,Good
NITISH AGGARWAL,Poor
DINESH KUSHWAHA,Poor
SHARMA VIVEK GAUTAM,Good
Ch Suresh Vidyasagar,Good
RAHUL SHARMA,Very Good
Rohit Ganguly,Fair
Kamlesh Basu,Good
TEJVEER SINGH,Exceptional
Sanjay Ghosh,Poor
SAGAR NARESH NEHRA,Poor
ARPIT KUMAR LARIYA,Fair
ANJALI RANA,Fair
Mahak,Good
Shivbihari Dhillon,Fair
Rohit Goswami,Very Good
PRIYANSHU SAGAR,Fair
RAMAVATH AKHIL NAIK,Good
GAUTAM SHETTY,Fair
Sonu Mishra,Poor
Deepak Swami,Poor
Shivam sharma,Exceptional
POOJA,Exceptional
MEGHA,Exceptional
LAYAN KAUSHIK,Fair
Anand Ahuja,Fair
Sunil Chandran,Fair
Nitesh Ranganathan,Fair
AKSHAY Dutta,Very Good
CHANDHU SIVANJAN RAO,Poor
Sanjay Solanki,Fair
SHIVAM SHARMA,Good
Shivbihari Balasubramanian,Fair
ARYAN GOYAT,Good
ANUJ BHADORIA,Fair
Sanjay Dhawan,Fair
NISHA,Very Good
YARTHA MOKSHITH REDDY,Fair
RAKESH KUMAR,Good
ANIRUDH GARG,Good
Vinay Bhattacharyya,Good
VINAY KUMAR JAIN,Fair
SONIT NEMA,Poor
RAJESH SUNIL WAGH,Fair
Dinesh Singh,Good
Ankit Raju,Exceptional
AMANJEET KAUR,Very Good
RISHABH VIJAYVERGIYA,Fair
Sonu Chandran,Very Good
ANURAG PORWAL,Good
KISHLAY KUMAR,Poor
Arvind Gupta,Good
Nitesh Banerjee,Good
Shubham Ramaswamy,Exceptional
JARPULA,Very Good
TRIPTI GANGWAR,Exceptional
SUNIL KUMAR MEENA,Fair
Sanjay Bhavsar,Poor
ABHINABA BALA,Very Good
BIJENDER,Good
POTHURI VENKATA SASI PREETHAM,Fair
SHRIKANT SHARMA,Exceptional
CHIRAYU GARG,Exceptional
Sudhir Ghose,Very Good
GOURAV AGRAWAL,Poor
Nilesh Dave,Good
Sunil Bedi,Very Good
Rahul Gupta,Poor
AARYAN GARG,Poor
VARUN MISHRA,Exceptional
SACHIN AGRAWAL,Poor
Vinay Rattan,Good
Anand Mukherjee,Good
TAPASYA,Very Good
Barakha,Very Good
SHUBHAM SUNDRAM,Good
Vinay Bakshi,Poor
Sunil Brahmbhatt,Very Good
Rohit Deol,Exceptional
UMA SAWROOP,Fair
Sonu Solanki,Poor
Sonu Rao,Fair
Aurobinda Panda,Good
Shivbihari Ramaswamy,Fair
CHANDRAHAS SINGH,Good
ANANDU GOPAL E B,Poor
ASHISH BORKER,Good
PRASHANT KUMAR,Poor
Subhasis Bhatia,Poor
SHISHANT GUPTA,Very Good
Vishwanatha Siddhartha,Exceptional
NITIN KUMAR,Exceptional
Arvind Agrawal,Fair
Amit Chadha,Very Good
SNIGDHA PANDEY,Very Good
Sasmita Dash,Exceptional
PRIYANKA PRIYADARSINI,Fair
Ankit Arora,Good
PRANAY AGARWAL,Very Good
Minakshmi Majhi,Exceptional
Vishal Gokhale,Fair
Ankit Bose,Fair
Arvind negi,Good
Anand shukla,Exceptional
GOVIND RAM,Poor
JOY SAHA,Exceptional
Shivbihari Sankaran,Exceptional
SHUBHAM SHARMA,Fair
Souvik Chakraborty,Fair
Manik Chandra,Very Good
Vishal Chaudhuri,Very Good
ABHAY AGRAWAL,Good
Sudhir Das,Poor
AKSHAY ANTONY,Very Good
Arvind Bhalla,Very Good
KRITI SINGH,Fair
Samarjeet Savant,Very Good
ALISHA,Poor
NAMAN GOYAL,Exceptional
PUNAM CHAND GURU,Very Good
Rohit Dhawan,Good
Arvind Sagar,Poor
AMAN SAURABH,Good
SURAJ SIDAR,Very Good
POONAM,Good
Heaven Singh,Exceptional
Amit Dugal,Exceptional
ABHISHEK BHADAURIA,Poor
SHUBHAM JINDAL,Exceptional
Ankit Pandey,Fair
Samarjeet Singh,Exceptional
Deepika Bhaskar,Poor
Samarjeet Desai,Fair
Nikhat Parvez,Fair
R J Karthikeyan,Poor
SANJAY YADAV,Very Good
PULLAGURA PRAVEEN JOHN SAGAR,Good
Sudhir Rao,Exceptional
RAVI MEENA,Exceptional
Avadhesh SINGH MOURYA,Poor
Sonu Raju,Poor
RUPAVATH SRIKANTH,Exceptional
SHWETA,Very Good
Shivbihari Shetty,Very Good
Sudhir Grewal,Poor
Shivam Mehta,Exceptional
BHASKAR GAUTAM,Exceptional
Aneet Agrawal,Exceptional
VYOMIKA SINGH,Good
Vishal Chandran,Exceptional
Shubham Sampath,Exceptional
Amit Chada,Fair
Ankit Dhawan,Exceptional
Sunil Ramanathan,Fair
Sonali Bhowmik,Good
Rohit Dugal,Very Good
SANJAY KUMAR,Exceptional
L. D. Malviya,Fair
SIDDHANT SARAN,Poor
RHYTHM GOTHWAL,Good
PENDYALA SAI RAMYA,Very Good
SHIVAM SAGAR,Good
ANSHUL SAINI,Very Good
ANKIT RAJ,Fair
TINA OBEROI,Very Good
YASH TIWARI,Very Good
Sandeep Gupta,Exceptional
Arvind sharma,Fair
Shivram Bhalla,Good
Shivbihari Bakshi,Poor
MS.PRITI,Poor
GURLEEN SINGH SANDHU,Very Good
AKARSH RAWAT,Good
Nitesh Singhal,Very Good
Sudhir Apte,Poor
RAKESH KUMAR NAHARWAL,Exceptional
SUMAN KUMAR,Very Good
KANHA GOYAL,Exceptional
PRINCE GARG,Poor
Kanhaiya Kumar,Very Good
ASTHA JYOTI,Exceptional
THERLI KRISHNA PRIYA,Very Good
Nilesh Bhargava,Exceptional
IRAM,Poor
Narasimha Vinod Pulagara,Very Good
KOMAL,Good
Iram,Exceptional
Lekhraj,Very Good
ANURAG MAHAJAN,Good
Anand Deshmukh,Fair
AKSHAY Goda,Poor
HITESH REDDY PERAM,Fair
YOGENDRA KUMAR JOSHI,Very Good
MENDAPARA DHAVAL MAHESHBHAI,Poor
SAWARNIK KAUSHAL,Poor
PRADEEP H. S.,Very Good
Jasbir Singh,Poor
Hemant Kumar,Good
Vishal Mehra,Good
Harvendra Singh Bhadauria,Exceptional
DILIP KUMAR,Fair
HARIHARAN ARUN NATARAJAN,Good
Shivbihari Rajan,Good
Sanjay Raju,Exceptional
SANJAY SAGAR,Very Good
Anuradha,Good
SIDHARTH THOMAS,Very Good
ANKIT DHANKHAR,Poor
SHRUTI SHIKHA,Very Good
ANISH MUKHERJEE,Fair
KUSH BANSAL,Very Good
Sonu Sengupta,Exceptional
Arvind Chand,Poor
Shivram Mishra,Fair
Shubham Dhawan,Good
ANUJ VATS,Exceptional
SAURABH JINDAL,Poor
Gurjinder Kaur,Very Good
ANGADI MADHAVA KRISHNA,Good
Shivbihari Saini,Poor
Vishal Mathur,Poor
Sahaj Saxena,Fair
ABHISHEK SHARMA,Poor
PRAKHAR SURYAWANSHI,Exceptional
NARENDRA KUMAR,Good
JYOTIRADITYA GARG,Exceptional
Ankit Balasubramanian,Fair
Sanjay Bahri,Good
NAMITA,Very Good
Shivbihari Randhawa,Fair
ADITYA GUPTA,Good
AYUSH KUMAR,Fair
Nilesh Nagar,Poor
Vikas Verma,Very Good
Sunil Basu,Very Good
ANIRUDDHA MAHAPATRA,Very Good
DESAI VINAYAK ALIAS AKASH VIRUPAKSH,Very Good
AKSHAY Gill,Exceptional
Haris Ahmed,Fair
Shivbihari Ranganathan,Fair
SMITA NARJARY,Exceptional
ANKUR AGARWAL,Good
NIKHIL AGRAWAL,Fair
Sonu Chakrabarti,Exceptional
Amit Goyal,Poor
